StringTime,DoubleTime,kW L1,kW L2,kW L3,E1,E2,E3,dE1,dE2,dE3
09/24/21  07:25:47.529   ,1632468347529.0,0.202,0.783,0.568,278.1119999999992,1729.6129999999996,847.9039999999994,12.569999999999936,48.40899999999988,34.639999999999986
09/24/21  07:26:48.530   ,1632468408530.0,0.201,2.761,0.549,290.5229999999991,1803.7309999999986,881.9649999999995,12.410999999999888,74.11799999999903,34.061000000000035
09/24/21  07:27:49.541   ,1632468469541.0,0.2,2.743,0.634,302.8019999999993,1970.473999999999,916.9549999999998,12.279000000000167,166.7430000000004,34.99000000000035
09/24/21  07:28:50.550   ,1632468530550.0,0.201,2.727,0.715,314.98699999999934,2137.0089999999987,958.292,12.18500000000006,166.53499999999963,41.33700000000022
09/24/21  07:29:51.515   ,1632468591515.0,0.201,2.705,0.791,327.1419999999995,2302.7169999999987,1004.1000000000005,12.155000000000143,165.70800000000008,45.80800000000045
09/24/21  07:30:52.508   ,1632468652508.0,0.197,0.415,0.84,339.2799999999993,2444.1990000000005,1053.5500000000006,12.137999999999806,141.4820000000018,49.45000000000016
09/24/21  07:31:53.434   ,1632468713434.0,0.199,0.347,0.826,351.3749999999995,2489.1770000000015,1107.2609999999997,12.095000000000198,44.978000000000975,53.7109999999991
09/24/21  07:32:54.431   ,1632468774431.0,0.195,0.345,0.555,363.4139999999998,2510.48,1143.9459999999995,12.039000000000328,21.30299999999852,36.68499999999972
09/24/21  07:33:55.472   ,1632468835472.0,0.196,0.362,0.57,375.43,2531.7150000000006,1177.999000000001,12.01600000000019,21.235000000000582,34.053000000001475
09/24/21  07:34:56.436   ,1632468896436.0,0.2,0.859,0.558,387.44800000000043,2582.4979999999996,1212.680000000001,12.018000000000427,50.78299999999899,34.68100000000004
09/24/21  07:35:57.434   ,1632468957434.0,0.2,0.844,0.545,399.44700000000057,2633.7489999999993,1245.840000000002,11.999000000000137,51.25099999999975,33.16000000000099
09/24/21  07:36:58.461   ,1632469018461.0,0.196,0.825,0.675,410.4460000000009,2681.618,1280.8290000000022,10.999000000000308,47.8690000000006,34.98900000000026
09/24/21  07:37:59.455   ,1632469079455.0,0.197,0.854,0.742,421.43800000000124,2729.503,1320.3310000000024,10.99200000000036,47.88500000000022,39.50200000000018
09/24/21  07:39:00.480   ,1632469140480.0,0.198,0.857,0.795,433.37000000000154,2782.2670000000003,1367.4720000000023,11.9320000000003,52.764000000000124,47.14099999999985
09/24/21  07:40:00.459   ,1632469200459.0,0.2,0.955,0.859,445.1190000000018,2834.1080000000015,1417.3350000000023,11.749000000000251,51.84100000000126,49.863000000000056
09/24/21  07:41:01.454   ,1632469261454.0,0.196,0.407,0.606,457.08400000000216,2884.6140000000023,1467.7060000000017,11.965000000000373,50.50600000000077,50.37099999999941
09/24/21  07:42:02.459   ,1632469322459.0,0.194,0.378,0.558,469.0100000000025,2907.400000000003,1502.5280000000007,11.926000000000329,22.786000000000513,34.82199999999898
09/24/21  07:43:03.449   ,1632469383449.0,0.037,0.363,0.577,476.09000000000253,2928.7670000000026,1537.1089999999988,7.080000000000041,21.366999999999734,34.580999999998085
